epoch,step,global_step,step_time_s,loss,cls_loss,lm_loss,consistency
5,3199,38259,2.741,0.45825,0.199002,0.776584,0.007736
5,3399,38459,2.715,0.477564,0.208798,0.806009,0.001914
5,3599,38659,2.692,0.585327,0.346271,0.715873,0.008634
5,3799,38859,2.671,0.520816,0.287421,0.700045,0.000948
5,3999,39059,2.653,0.446769,0.244067,0.606899,0.008032
5,4199,39259,2.636,0.750618,0.506894,0.731002,0.001135
5,4399,39459,2.621,0.544371,0.28989,0.761294,0.014327
5,4599,39659,2.607,0.451892,0.201614,0.750389,0.002952
5,4799,39859,2.594,0.461212,0.200735,0.780619,0.005408
5,4999,40059,2.582,0.654871,0.381363,0.816728,0.025305
5,5199,40259,2.571,0.520523,0.259662,0.782429,0.001032
5,5399,40459,2.561,0.483723,0.203027,0.839172,0.019437
5,5599,40659,2.552,0.427301,0.207358,0.65958,0.001672
5,5799,40859,2.543,0.490024,0.228723,0.781783,0.014134
5,5999,41059,2.535,0.426187,0.200839,0.675382,0.004401
5,6199,41259,2.527,0.471728,0.235712,0.706276,0.011819
5,6399,41459,2.52,0.470597,0.20528,0.795146,0.005383
5,6599,41659,2.513,0.443715,0.212555,0.693088,0.002623
5,6799,41859,2.507,0.515512,0.249438,0.797471,0.005002
5,6999,42059,2.501,0.492019,0.201956,0.869367,0.005471
5,7199,42259,2.496,0.461954,0.208279,0.760666,0.002391
5,7399,42459,2.49,0.714752,0.493713,0.661408,0.011388
5,7599,42659,2.485,0.465294,0.206735,0.772171,0.023375
5,7799,42859,2.481,0.433878,0.209518,0.672099,0.006541
5,7999,43059,2.476,0.488774,0.23244,0.768192,0.005399
5,8199,43259,2.472,0.475804,0.214063,0.784653,0.003813
5,8399,43459,2.468,0.458407,0.220895,0.712156,0.002532
5,8599,43659,2.464,0.59349,0.313171,0.83972,0.00825
5,8764,43824,2.461,0.43637,0.20032,0.707999,0.000991
6,0,43825,1403.781,0.845324,0.618515,0.61571,0.020983
6,199,44024,9.3,0.509113,0.226855,0.767724,0.015173
6,399,44224,5.799,0.475535,0.202051,0.74528,0.004293
6,599,44424,4.633,0.498061,0.205769,0.796773,0.002836
6,799,44624,4.049,0.455811,0.2246,0.626809,0.02761
6,999,44824,3.699,0.491321,0.202353,0.787885,0.001532
6,1199,45024,3.466,0.548128,0.264383,0.772996,0.006263
6,1399,45224,3.299,0.426026,0.199481,0.616396,0.01067
6,1599,45424,3.174,0.646697,0.410675,0.643565,0.000959
6,1799,45624,3.077,0.5054,0.206461,0.814813,0.003504
6,1999,45824,2.999,0.443526,0.200012,0.662894,0.009046
6,2199,46024,2.935,0.481071,0.201517,0.762371,0.000357
6,2399,46224,2.882,0.493306,0.198856,0.802634,0.003033
6,2599,46424,2.837,0.507073,0.220914,0.779734,0.005127
6,2799,46624,2.799,0.560668,0.28605,0.746206,0.020165
6,2999,46824,2.766,0.781633,0.512595,0.733697,0.000324
6,3199,47024,2.737,0.449086,0.20058,0.677534,0.001548
6,3399,47224,2.711,0.484656,0.208755,0.751435,0.007492
6,3599,47424,2.688,0.44691,0.206491,0.655057,0.004636
6,3799,47624,2.668,0.461233,0.200119,0.711451,0.004973
6,3999,47824,2.649,0.454632,0.216676,0.648569,0.002951
6,4199,48024,2.633,0.444126,0.200812,0.661532,0.015051
6,4399,48224,2.618,0.480977,0.201184,0.758526,0.033328
6,4599,48424,2.604,0.432671,0.20426,0.620807,0.015624
6,4799,48624,2.591,0.468084,0.200415,0.728226,0.01305
6,4999,48824,2.579,0.469147,0.201073,0.729671,0.010572
6,5199,49024,2.569,0.694945,0.412323,0.770205,0.004264
6,5399,49224,2.559,0.61402,0.387869,0.616466,0.002273
6,5599,49424,2.549,0.560146,0.319546,0.655793,0.002846
6,5799,49624,2.541,0.497755,0.198938,0.814658,0.002179
6,5999,49824,2.533,0.52414,0.213797,0.845509,0.006458
6,6199,50024,2.525,0.435947,0.231766,0.556554,0.002231
6,6399,50224,2.518,0.487293,0.203479,0.773868,0.001242
6,6599,50424,2.512,0.657803,0.366498,0.793718,0.005507
6,6799,50624,2.505,0.445991,0.204184,0.659384,0.000655
6,6999,50824,2.5,0.497226,0.222739,0.74857,0.000243
6,7199,51024,2.494,0.477533,0.200363,0.755573,0.002533
6,7399,51224,2.489,0.461923,0.208878,0.689881,0.001774
6,7599,51424,2.484,0.478015,0.206296,0.740598,0.003319
6,7799,51624,2.479,0.487496,0.201375,0.779621,0.0052
6,7999,51824,2.475,0.482082,0.233185,0.677206,0.011762
6,8199,52024,2.47,0.485372,0.201193,0.769218,0.042652
6,8399,52224,2.466,0.487681,0.213504,0.745677,0.015231
6,8599,52424,2.462,0.485721,0.218234,0.729182,0.002405
6,8764,52589,2.459,0.526871,0.284937,0.659494,0.002393
